fstat	df	pvalue
0.1	1	0.8050178
0.1	2	0.7817821
0.1	3	0.7725549
0.1	4	0.7676439
0.1	5	0.7646048
0.1	6	0.7625417
0.1	7	0.7610505
0.1	8	0.759923
0.1	9	0.7590407
0.1	10	0.7583315
0.1	11	0.7577492
0.1	12	0.7572626
0.1	13	0.7568497
0.1	14	0.7564952
0.1	15	0.7561874
0.1	16	0.7559177
0.1	17	0.7556794
0.1	18	0.7554673
0.1	19	0.7552774
0.1	20	0.7551063
0.1	21	0.7549514
0.1	22	0.7548104
0.1	23	0.7546817
0.1	24	0.7545636
0.1	25	0.7544549
0.1	26	0.7543545
0.1	27	0.7542614
0.1	28	0.7541751
0.1	29	0.7540946
0.1	30	0.7540194
0.2	1	0.7322795
0.2	2	0.6984887
0.2	3	0.6850376
0.2	4	0.6778688
0.2	5	0.6734284
0.2	6	0.6704121
0.2	7	0.668231
0.2	8	0.6665811
0.2	9	0.6652897
0.2	10	0.6642515
0.2	11	0.6633988
0.2	12	0.662686
0.2	13	0.6620813
0.2	14	0.6615619
0.2	15	0.6611109
0.2	16	0.6607157
0.2	17	0.6603664
0.2	18	0.6600557
0.2	19	0.6597773
0.2	20	0.6595265
0.2	21	0.6592994
0.2	22	0.6590928
0.2	23	0.6589041
0.2	24	0.6587309
0.2	25	0.6585716
0.2	26	0.6584244
0.2	27	0.658288
0.2	28	0.6581613
0.2	29	0.6580433
0.2	30	0.6579332
0.3	1	0.6809943
0.3	2	0.6388424
0.3	3	0.6220025
0.3	4	0.6130111
0.3	5	0.6074355
0.3	6	0.6036451
0.3	7	0.6009026
0.3	8	0.5988271
0.3	9	0.597202
0.3	10	0.5958952
0.3	11	0.5948217
0.3	12	0.5939241
0.3	13	0.5931625
0.3	14	0.5925082
0.3	15	0.5919401
0.3	16	0.5914421
0.3	17	0.5910021
0.3	18	0.5906104
0.3	19	0.5902596
0.3	20	0.5899435
0.3	21	0.5896573
0.3	22	0.5893969
0.3	23	0.5891589
0.3	24	0.5889407
0.3	25	0.5887397
0.3	26	0.5885542
0.3	27	0.5883822
0.3	28	0.5882225
0.3	29	0.5880737
0.3	30	0.5879348
0.4	1	0.640983
0.4	2	0.5917517
0.4	3	0.5720034
0.4	4	0.561438
0.4	5	0.5548783
0.4	6	0.550415
0.4	7	0.5471838
0.4	8	0.5447373
0.4	9	0.542821
0.4	10	0.5412795
0.4	11	0.5400129
0.4	12	0.5389536
0.4	13	0.5380547
0.4	14	0.5372824
0.4	15	0.5366116
0.4	16	0.5360236
0.4	17	0.535504
0.4	18	0.5350414
0.4	19	0.5346271
0.4	20	0.5342537
0.4	21	0.5339156
0.4	22	0.533608
0.4	23	0.5333269
0.4	24	0.533069
0.4	25	0.5328316
0.4	26	0.5326123
0.4	27	0.5324092
0.4	28	0.5322204
0.4	29	0.5320446
0.4	30	0.5318805
0.5	1	0.6081734
0.5	2	0.5527864
0.5	3	0.5304778
0.5	4	0.5185185
0.5	5	0.5110841
0.5	6	0.5060214
0.5	7	0.502354
0.5	8	0.4995759
0.5	9	0.497399
0.5	10	0.4956475
0.5	11	0.4942079
0.5	12	0.4930037
0.5	13	0.4919817
0.5	14	0.4911034
0.5	15	0.4903405
0.5	16	0.4896717
0.5	17	0.4890805
0.5	18	0.4885543
0.5	19	0.4880829
0.5	20	0.4876581
0.5	21	0.4872734
0.5	22	0.4869233
0.5	23	0.4866033
0.5	24	0.4863098
0.5	25	0.4860396
0.5	26	0.4857901
0.5	27	0.4855588
0.5	28	0.485344
0.5	29	0.4851438
0.5	30	0.484957
0.6	1	0.5804306
0.6	2	0.5196155
0.6	3	0.4950253
0.6	4	0.4818174
0.6	5	0.4735969
0.6	6	0.4679944
0.6	7	0.4639336
0.6	8	0.460856
0.6	9	0.4584437
0.6	10	0.4565021
0.6	11	0.4549059
0.6	12	0.4535705
0.6	13	0.4524369
0.6	14	0.4514626
0.6	15	0.4506162
0.6	16	0.4498741
0.6	17	0.4492181
0.6	18	0.4486341
0.6	19	0.4481109
0.6	20	0.4476394
0.6	21	0.4472123
0.6	22	0.4468237
0.6	23	0.4464685
0.6	24	0.4461427
0.6	25	0.4458427
0.6	26	0.4455655
0.6	27	0.4453088
0.6	28	0.4450702
0.6	29	0.444848
0.6	30	0.4446405
0.7	1	0.556468
0.7	2	0.4908249
0.7	3	0.4641881
0.7	4	0.4498552
0.7	5	0.4409246
0.7	6	0.4348336
0.7	7	0.4304162
0.7	8	0.427067
0.7	9	0.4244408
0.7	10	0.4223267
0.7	11	0.4205882
0.7	12	0.4191335
0.7	13	0.4178984
0.7	14	0.4168367
0.7	15	0.4159143
0.7	16	0.4151054
0.7	17	0.4143904
0.7	18	0.4137538
0.7	19	0.4131834
0.7	20	0.4126693
0.7	21	0.4122037
0.7	22	0.4117799
0.7	23	0.4113926
0.7	24	0.4110373
0.7	25	0.4107101
0.7	26	0.4104079
